Goovex,Losing Interest - Original Mix,"126,247,886",1,2024-06-10
Kurochuu,Again,"136,237,285",2,2024-06-09
Kurochuu,Bad idea,"86,203,995",1,2024-06-09
Kurochuu,Loosing interest,"43,492,280",4,2024-06-09
Kurochuu,You can't control my heart,"24,071,511",1,2024-06-09
Adam Port,Move,"5,917,083",67,2024-06-07
Jung Kook,Never Let Go,"26,891,849",81,2024-06-07
Feid,SORRY 4 THAT MUCH,"8,757,910",71,2024-06-07
FARIANA,El Caballito,"184,278",42,2024-06-07
Gracie Abrams,Close To You,"13,700,065",74,2024-06-07
Koe Wetzel,High Road (feat. Jessie Murph),"6,120,999",67,2024-06-07
FloyyMenor,Gata Only (Remix),"3,870,862",67,2024-06-07
Sabrina Carpenter,Please Please Please,"59,314,441",83,2024-06-06
Luke Combs,The Man He Sees in Me,"5,942,861",71,2024-06-06
Aitch,Baddies,"5,698,784",67,2024-06-06
Falling In Reverse,All My Life,"4,094,651",65,2024-06-06
Joost,Luchtballon,"4,794,950",67,2024-06-04
Carin Leon,Desp��dase,"10,557,337",72,2024-06-01
Babasha,P��i,"881,858",53,2024-06-01
Eminem,Houdini,"107,034,922",88,2024-05-31
ATEEZ,WORK,"10,135,326",31,2024-05-31
PAWSA,PICK UP THE PHONE (feat. Nate Dogg),"2,284,977",22,2024-05-31
Royel Otis,Linger - SiriusXM Session,"8,053,814",69,2024-05-31
Luck Ra,HOLA PERDIDA REMIX,"8,981,282",70,2024-05-31
Fred again..,places to be,"11,581,454",73,2024-05-31
Alex Warren,Carry You Home,"9,428,361",71,2024-05-31
Roddy Ricch,Survivor���s R,"4,462,637",66,2024-05-31
Akris & Teddy,��������������,"306,040",15,2024-05-31
aldn,icantbelieveiletyougetaway,"3,162,942",63,2024-05-31
prod.67,Funk Estranho,"3,589",15,2024-05-31
Dafina Zeqiri,Jom ka du me t��,"1,196,257",57,2024-05-31
Oscar Maydon,Volver Al Futuro,"25,593,926",78,2024-05-30
Ana Castela,Minha Heran�,"3,582,494",64,2024-05-30
Ayra Starr,Last Heartbreak Song,"6,073,281",67,2024-05-30
HoodBlaq,BLAQ ON BLAQ (feat. Luciano),"8,033,479",70,2024-05-30
TREASURE,KING KONG,"8,078,265",68,2024-05-28
Grupo Firme,El Beneficio De La Duda,"15,557,247",73,2024-05-28
Mc IG,Sorriso no Rosto,"11,576,361",71,2024-05-28
aespa,Armageddon,"32,942,304",74,2024-05-27
Number_i,BON,"7,269,751",70,2024-05-27
corwinn,Alo,"29,938,396",39,2024-05-25
NewJeans,How Sweet,"33,595,707",79,2024-05-24
Zach Bryan,Pink Skies,"60,240,739",84,2024-05-24
NewJeans,Bubble Gum,"20,630,900",76,2024-05-24
RM,LOST!,"31,453,044",80,2024-05-24
Sexyy Red,U My Everything (feat. Drake),"13,671,209",71,2024-05-24
Amrinder Gill,That Girl,"4,128,853",62,2024-05-24
Imagine Dragons,Nice to Meet You,"15,062,636",75,2024-05-24
Grupo Marca Registrada,Mi Morenita,"8,104,357",68,2024-05-24
Bring Me The Horizon,Top 10 staTues tHat CriEd bloOd,"13,330,547",73,2024-05-24
Ikka,House Of Lies,"5,200,791",42,2024-05-24
$uicideboy$,The Thin Grey Line,"13,289,346",72,2024-05-24
Central Cee,BAND4BAND (feat. Lil Baby),"90,676,573",86,2024-05-23
Cris Mj,SI NO ES CONTIGO,"45,287,928",81,2024-05-23
Los ��ngeles Az,"Perdonarte, ��Para Q","19,514,243",75,2024-05-23
Trueno,REAL GANGSTA LOVE,"31,366,703",78,2024-05-23
Pashanim,Mittelmeer,"20,583,156",76,2024-05-23
Clairo,Sexy to Someone,"15,290,073",74,2024-05-23
Ian Lucas,TIKTOK,"2,164,864",59,2024-05-23
BABYMETAL,RATATATA,"12,875,105",73,2024-05-23
Central Cee,BAND4BAND,"86,144,467",7,2024-05-23
Santa Fe Klan,A LA ORDEN,"4,453,194",64,2024-05-23
Valentino Merlo,Hoy,"3,084,236",62,2024-05-22
Ebru Ya��,Kafam��n �,"4,177,077",63,2024-05-22
Tony Effe,SESSO E SAMBA (feat. Gaia),"16,883,730",69,2024-05-22
XG,WOKE UP,"16,684,393",74,2024-05-21
ANGGA DERMAWAN,DOLA,"4,906,976",62,2024-05-21
NEXZ,Ride the Vibe,"899,456",46,2024-05-20
Billie Eilish,LUNCH,"221,636,195",92,2024-05-17
Billie Eilish,BLUE,"91,272,461",86,2024-05-17
Billie Eilish,BIRDS OF A FEATHER,"214,237,645",92,2024-05-17
Billie Eilish,CHIHIRO,"169,410,711",90,2024-05-17
Billie Eilish,L���AMOUR DE,"84,575,291",85,2024-05-17
Billie Eilish,WILDFLOWER,"100,838,516",87,2024-05-17
Billie Eilish,SKINNY,"77,212,437",84,2024-05-17
Billie Eilish,THE GREATEST,"74,533,081",84,2024-05-17
Billie Eilish,THE DINER,"66,101,468",84,2024-05-17
Flex (UK),6 In the Morning (feat. Nate Dogg),"4,505,404",64,2024-05-17
FloyyMenor,APAGA EL CEL,"33,245,898",78,2024-05-17
Billie Eilish,BITTERSUITE,"58,810,212",87,2024-05-17
ian,Never Stop,"8,857,839",68,2024-05-17
Koe Wetzel,Sweet Dreams,"20,827,832",75,2024-05-17
ElMusto,Dale Don Dale,"14,289,955",71,2024-05-17
ian,AirBnb,"3,970,523",67,2024-05-17
Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),"33,661,899",79,2024-05-16
Karan Aujla,Winning Speech,"17,917,738",73,2024-05-16
Luan Pereira,FALTA DE QU�,"27,120,441",77,2024-05-16
John Summit,Go Back (feat. Julia Church),"12,724,701",72,2024-05-16
Alvaro Diaz,GATITAS SANDUNGUERAS VOL.1,"41,517,704",79,2024-05-16
Q' Lokura,Tu Foto,"9,244,547",69,2024-05-16
Maria Becerra,IMAN (Two Of Us),"13,528,794",72,2024-05-16
Nemzzz,ATM,"6,184,259",67,2024-05-16
Natanael Cano,Ya Te Olvide,"38,139,811",79,2024-05-15
Amo988,Elini Ver,"15,352,061",72,2024-05-15
10CM,Spring Snow,"18,800,716",73,2024-05-14
aespa,Supernova,"69,729,033",81,2024-05-13
ZEROBASEONE,Feel the POP,"8,699,917",58,2024-05-13
TitoM,Tshwala Bam (feat. S.N.E) - Remix,"13,092,462",75,2024-05-12
JO1,Love seeker,"5,148,212",62,2024-05-11
Post Malone,I Had Some Help (feat. Morgan Wallen),"250,080,413",91,2024-05-10
Myles Smith,Stargazing,"106,599,323",87,2024-05-10
DJ TOPO,MTG QUEM N��O QUER SO,"51,198,446",80,2024-05-10
Stray Kids,Lose My Breath (Feat. Charlie Puth),"29,994,527",57,2024-05-10
GIMS,SPIDER,"26,972,053",76,2024-05-10
Gunna,one of wun,"58,469,975",82,2024-05-10
Shoreline Mafia,HEAT STICK,"20,538,101",74,2024-05-10
RM,Come back to me,"44,991,905",84,2024-05-10
Gunna,on one tonight,"28,658,023",77,2024-05-10
Tee Grizzley,Swear to God (feat. Future),"7,785,021",1,2024-05-10
Charli xcx,360,"31,940,305",76,2024-05-10
Shubh,MVP,"13,194,395",70,2024-05-10
Thomas Rhett,Beautiful As You,"9,327,924",72,2024-05-10
MEDUZA,Fire - Official UEFA EURO 2024 Song,"10,114,922",74,2024-05-10
Macklemore,HIND'S HALL,"22,463,244",73,2024-05-10
Mabel Matiz,K��,"13,060,347",70,2024-05-10
Karan Aujla,Goin' Off,"13,606,839",70,2024-05-09
Grupo Frontera,POR QU�� SE,"29,906,024",76,2024-05-09
Peso Pluma,LA DURANGO,"42,032,763",79,2024-05-09
Megan Thee Stallion,BOA,"21,644,029",79,2024-05-09
